Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query1,2,20.0,-25.0
Query2,2,20.0,-7.0
Query3,2,20.0,-17.0
Query4,4,40.0,-8.1
Query5,3,30.0,-7.75
Query6,1,10.0,0
Query7,3,30.0,-4.25
Query8,2,20.0,-49.0
Query9,3,30.0,-3.5
Query10,0,0.0,0
Query11,4,40.0,0.30000000000000004
Query12,2,20.0,-40.0
Query13,1,10.0,0
Query14,1,10.0,0
Query15,3,30.0,-20.5
Query16,4,40.0,-11.5
Query17,4,40.0,-0.8999999999999999
Query18,2,20.0,-40.0
Query19,1,10.0,0
Query20,1,10.0,0
Query21,1,10.0,0
Query22,0,0.0,0
Query23,3,30.0,-25.25
Query24,2,20.0,-28.0
Query25,1,10.0,1
Query26,1,10.0,0
Query27,1,10.0,0
Query28,5,50.0,-5.7
Query29,2,20.0,-16.0
Query30,1,10.0,0
Query31,4,40.0,-3.0999999999999996
Query32,2,20.0,-15.0
Query33,4,40.0,-5.9
Query34,3,30.0,-0.25
Query35,1,10.0,0
Query36,1,10.0,0
Query37,0,0.0,0
Query38,2,20.0,-49.0
Query39,1,10.0,1
Query40,3,30.0,-0.5
Query41,4,40.0,-9.5
Query42,2,20.0,-33.0
Query43,1,10.0,0
Query44,4,40.0,-3.5999999999999996
Query45,3,30.0,-1.75
Query46,1,10.0,1
Query47,0,0.0,0
Query48,5,50.0,-1.6
Query49,5,50.0,-1.5
Query50,3,30.0,-1.75
Query51,0,0.0,0
Query52,3,30.0,-3.25
Query53,3,30.0,-8.0
Query54,2,20.0,-4.0
Query55,2,20.0,-8.0
Query56,7,70.0,0.7142857142857143
Query57,2,20.0,-9.0
Query58,2,20.0,0.0
Query59,3,30.0,-1.75
Query60,1,10.0,0
Query61,1,10.0,1
Query62,4,40.0,-3.5
Query63,4,40.0,-4.4
Query64,3,30.0,-6.25
Query65,1,10.0,0
Query66,4,40.0,-0.10000000000000009
Query67,2,20.0,-4.0
Query68,4,40.0,-4.1
Query69,1,10.0,0
Query70,2,20.0,-49.0
Query71,5,50.0,-1.15
Query72,0,0.0,0
Query73,0,0.0,0
Query74,3,30.0,-5.25
Query75,5,50.0,-2.3
Query76,5,50.0,-3.75
Query77,3,30.0,-12.0
Query78,1,10.0,0
Query79,2,20.0,-36.0
Query80,2,20.0,-8.0
Query81,2,20.0,-7.0
Query82,1,10.0,0
Query83,1,10.0,0
Query84,2,20.0,-9.0
Query85,0,0.0,0
Query86,1,10.0,1
Query87,2,20.0,0.0
Query88,2,20.0,-73.0
Query89,3,30.0,-4.0
Query90,4,40.0,-1.1
Query91,2,20.0,-15.0
Query92,5,50.0,-4.15
Query93,0,0.0,0
Query94,4,40.0,-5.0
Query95,5,50.0,-1.5499999999999998
Query96,4,40.0,0.5
Query97,1,10.0,0
Query98,2,20.0,-4.0
Query99,3,30.0,-5.75
Query100,3,30.0,-13.75
Averages,2.35,23.5,-7.464857142857142
